,lat,lon,latlon
14848,10.9946887,77.7067363,10.9946887;77.7067363
14849,11.046517,76.9650842,11.046517;76.9650842
14850,11.6542409,76.7470069,11.6542409;76.7470069
14851,9.1761244,80.16432323770492,9.1761244;80.16432323770492
14852,12.1357567,80.0962905,12.1357567;80.0962905
14853,9.9474234,79.1352157,9.9474234;79.1352157
14854,10.9605585,79.3120748,10.9605585;79.3120748
14855,10.9243459,79.711185,10.9243459;79.711185
14856,10.7702258,78.0931187,10.7702258;78.0931187
14857,10.0489902,78.715963,10.0489902;78.715963
14858,10.8231348,78.3643317,10.8231348;78.3643317
14859,11.49571776,78.573855,11.49571776;78.573855
14860,11.0276783,77.8002114,11.0276783;77.8002114
14861,11.381735,79.6513073,11.381735;79.6513073
14862,11.0340766,79.8487067,11.0340766;79.8487067
14863,11.0752604,78.0978967,11.0752604;78.0978967
14864,12.6725717,77.8086281,12.6725717;77.8086281
14865,12.9942941,77.4392849,12.9942941;77.4392849
14866,12.749981,77.57634,12.749981;77.57634
14867,12.9967883,77.1793167,12.9967883;77.1793167
14868,11.0312267,77.9448729,11.0312267;77.9448729
14869,13.0433076,77.8412923,13.0433076;77.8412923
14870,13.0362022,80.1804016,13.0362022;80.1804016
14871,13.0163174,80.1818158,13.0163174;80.1818158
14872,13.0376164,80.0710266,13.0376164;80.0710266
14873,12.9992653,79.3499836,12.9992653;79.3499836
14874,13.0976308,79.3932887,13.0976308;79.3932887
14875,13.0983465,79.1042262,13.0983465;79.1042262
14876,13.153394,79.6397188,13.153394;79.6397188
14877,13.1161014,78.2183104,13.1161014;78.2183104
14878,10.1022065,78.8284269,10.1022065;78.8284269
14879,11.6554644,78.7610116,11.6554644;78.7610116
14880,12.7854177,77.4404242,12.7854177;77.4404242
14881,11.7054509,77.8118543,11.7054509;77.8118543
14882,11.8162401,77.7707049,11.8162401;77.7707049
14883,10.5127607,79.4527542,10.5127607;79.4527542
14884,11.6597686,79.6906991,11.6597686;79.6906991
14885,12.3117452,78.1797833,12.3117452;78.1797833
14886,12.6926543,78.7664623,12.6926543;78.7664623
14887,8.8322452,78.7387822,8.8322452;78.7387822
14888,8.6784851,78.5896032,8.6784851;78.5896032
14889,9.7211003,77.967967,9.7211003;77.967967
14890,9.1760081,77.8003346,9.1760081;77.8003346
14891,9.743475,77.5211715,9.743475;77.5211715
14892,9.1703169,77.9480306,9.1703169;77.9480306
14893,9.9437587,80.1800582,9.9437587;80.1800582
14894,10.9444701,80.084894,10.9444701;80.084894
14895,10.9991533,80.16009428,10.9991533;80.16009428
14896,10.3730862,80.20134,10.3730862;80.20134
14897,10.9956006,79.6478606,10.9956006;79.6478606
14898,10.962225,79.7110333,10.962225;79.7110333
14899,11.0336089,78.1739204,11.0336089;78.1739204
14900,11.4316907,78.1248897,11.4316907;78.1248897
14901,11.0147869,78.9587403,11.0147869;78.9587403
14902,11.0485225,77.542316,11.0485225;77.542316
14903,11.0272063,77.8412779,11.0272063;77.8412779
14904,12.8407691,77.6317546,12.8407691;77.6317546
14905,12.7374324,80.1244231,12.7374324;80.1244231
14906,12.9565381,79.976521,12.9565381;79.976521
14907,12.9671962,79.4530147,12.9671962;79.4530147
14908,12.4217483,79.132771,12.4217483;79.132771
14909,13.0747884,78.8619558,13.0747884;78.8619558
14910,13.0389272,77.6954627,13.0389272;77.6954627
14911,13.0286377,79.6580893,13.0286377;79.6580893
14912,12.6277017,79.3959654,12.6277017;79.3959654
14913,13.1245133,79.7859177,13.1245133;79.7859177
14914,13.1671242,79.5678404,13.1671242;79.5678404
14915,10.349731,78.5641332,10.349731;78.5641332
14916,11.7514707,78.0491809,11.7514707;78.0491809
14917,9.0947931,78.4803514,9.0947931;78.4803514
14918,11.0715463,78.415023,11.0715463;78.415023
14919,10.5995095,78.8261883,10.5995095;78.8261883
14920,11.3087805,77.3430902,11.3087805;77.3430902
14921,11.6042567,77.9644515,11.6042567;77.9644515
14922,10.4508813,77.5617714,10.4508813;77.5617714
14923,10.1021472,76.9245102,10.1021472;76.9245102
14924,11.1138936,79.6386883,11.1138936;79.6386883
14925,11.3161634,78.0895203,11.3161634;78.0895203
14926,10.81134,78.0809663,10.81134;78.0809663
14927,12.7292567,80.0798296,12.7292567;80.0798296
14928,10.8005558,78.723747,10.8005558;78.723747
14929,8.1751761,77.9954954,8.1751761;77.9954954
14930,8.8044316,77.8911733,8.8044316;77.8911733
14931,8.7969748,77.352042,8.7969748;77.352042
14932,9.9319172,77.4813534,9.9319172;77.4813534
14933,9.8069172,80.0023747,9.8069172;80.0023747
14934,9.1741176,80.0974701,9.1741176;80.0974701
14935,9.968507,80.2203832,9.968507;80.2203832
14936,12.5133505,79.8878095,12.5133505;79.8878095
14937,10.3633832,79.1427248,10.3633832;79.1427248
14938,10.99656,79.7983021,10.99656;79.7983021
14939,10.3786525,78.7562051,10.3786525;78.7562051
14940,10.0750364,78.11312581367521,10.0750364;78.11312581367521
14941,10.4273017,78.1752517,10.4273017;78.1752517
14942,11.046632,78.5687051,11.046632;78.5687051
14943,11.055863,78.9621585,11.055863;78.9621585
14944,11.3683544,77.0087586,11.3683544;77.0087586
14945,11.6723434,78.104775,11.6723434;78.104775
14946,11.448965,77.7254217,11.448965;77.7254217
14947,12.5001084,80.1974123,12.5001084;80.1974123
14948,12.9564304,80.293318,12.9564304;80.293318
14949,12.2540125,80.2634822,12.2540125;80.2634822
14950,11.7447772,80.2030691,11.7447772;80.2030691
14951,11.0025854,80.1945839,11.0025854;80.1945839
14952,13.0267472,80.3040277,13.0267472;80.3040277
14953,12.9212763,79.0956437,12.9212763;79.0956437
14954,13.3335646,78.1792194,13.3335646;78.1792194
14955,12.6037922,78.0321961,12.6037922;78.0321961
14956,12.30906,78.4370319,12.30906;78.4370319
14957,13.1307953,78.483303,13.1307953;78.483303
14958,10.797269,78.7836791,10.797269;78.7836791
14959,9.4502322,78.6685785,9.4502322;78.6685785
14960,12.2302279,78.6887033,12.2302279;78.6887033
14961,12.2536654,77.6159094,12.2536654;77.6159094
14962,12.5943501,77.8431446,12.5943501;77.8431446
14963,12.7974751,80.2611892,12.7974751;80.2611892
14964,9.9391175,79.8220689,9.9391175;79.8220689
14965,10.9471515,79.8071166,10.9471515;79.8071166
14966,9.6888806,78.8587008,9.6888806;78.8587008
14967,10.5515578,78.0981287,10.5515578;78.0981287
14968,11.3221361,77.1185317,11.3221361;77.1185317
14969,10.0172425,77.5758993,10.0172425;77.5758993
14970,12.834665,77.5424936,12.834665;77.5424936
14971,12.8408518,77.2022447,12.8408518;77.2022447
14972,10.0172579,77.8032033,10.0172579;77.8032033
14973,11.5158129,79.2855599,11.5158129;79.2855599
14974,9.4590467,78.755518,9.4590467;78.755518
14975,11.5158283,78.0630339,11.5158283;78.0630339
14976,12.845589,77.2916148,12.845589;77.2916148
